measurement_type,datetimems,measurement
ECG,1404713987958,499
ECG,1404713987962,499
ECG,1405098850096,504
ECG,1405098850100,504
ECG,1405098850104,503
ECG,1405098850108,503
ECG,1405098850112,503
ECG,1405098850116,504
ECG,1405098850120,504
ECG,1405098850124,504
ECG,1405098850128,503
ECG,1405098850132,503
ECG,1405098850136,503
ECG,1405098850140,503
ECG,1405098850144,503
ECG,1405098850148,503
ECG,1405098850152,505
ECG,1405098850156,506
ECG,1405098850160,506
ECG,1405098850164,505
ECG,1405098850168,504
ECG,1405098850172,503
ECG,1405098850176,503
ECG,1405098850180,504
ECG,1405098850184,506
ECG,1405098850188,506
ECG,1405098850193,506
ECG,1405098850197,506
ECG,1405098850201,506
ECG,1405098850205,507
ECG,1405098850209,507
ECG,1405098850213,508
ECG,1405098850217,508
ECG,1405098850221,508
ECG,1405098850225,508
ECG,1405098850229,509
ECG,1405098850233,509
ECG,1405098850237,509
ECG,1405098850241,509
ECG,1405098850245,508
ECG,1405098850249,507
ECG,1405098850253,507
ECG,1405098850257,507
ECG,1405098850261,506
ECG,1405098850265,505
ECG,1405098850269,504
ECG,1405098850273,504
ECG,1405098850277,504
ECG,1405098850281,504
ECG,1405098850285,503
ECG,1405098850289,503
ECG,1405098850293,503
ECG,1405098850297,503
ECG,1405098850301,504
ECG,1405098850305,504
ECG,1405098850309,505
ECG,1405098850313,505
ECG,1405098850317,505
ECG,1405098850321,504
ECG,1405098850325,504
ECG,1405098850329,503
ECG,1405098850333,503
ECG,1405098850337,503
ECG,1405098850341,503
ECG,1405098850345,502
ECG,1405098850349,500
ECG,1405098850353,500
ECG,1405098850357,502
ECG,1405098850361,507
ECG,1405098850365,515
ECG,1405098850369,526
ECG,1405098850373,539
ECG,1405098850377,549
ECG,1405098850381,551
ECG,1405098850385,544
ECG,1405098850389,527
ECG,1405098850393,508
ECG,1405098850397,494
ECG,1405098850401,489
ECG,1405098850405,493
ECG,1405098850409,500
ECG,1405098850413,506
ECG,1405098850417,508
ECG,1405098850421,507
ECG,1405098850425,506
ECG,1405098850429,506
ECG,1405098850433,507
ECG,1405098850437,507
ECG,1405098850441,508
ECG,1405098850442,508
ECG,1405098850446,508
ECG,1405098850450,508
ECG,1405098850454,508
ECG,1405098850458,508
ECG,1405098850462,508
ECG,1405098850466,508
ECG,1405098850470,508
ECG,1405098850474,509
ECG,1405098850478,510
ECG,1405098850482,511
ECG,1405098850486,512
ECG,1405098850490,512
ECG,1405098850494,513
ECG,1405098850498,513
ECG,1405098850502,513
ECG,1405098850506,513
ECG,1405098850510,514
ECG,1405098850514,515
ECG,1405098850518,516
ECG,1405098850522,516
ECG,1405098850526,515
ECG,1405098850530,515
ECG,1405098850534,516
ECG,1405098850538,517
ECG,1405098850542,518
ECG,1405098850546,519
ECG,1405098850550,519
ECG,1405098850554,519
ECG,1405098850558,519
ECG,1405098850562,520
ECG,1405098850566,521
ECG,1405098850570,522
ECG,1405098850574,523
ECG,1405098850578,524
ECG,1405098850582,524
ECG,1405098850586,523
ECG,1405098850590,523
ECG,1405098850594,523
ECG,1405098850598,523
ECG,1405098850602,523
ECG,1405098850606,523
ECG,1405098850610,524
ECG,1405098850614,524
ECG,1405098850618,523
ECG,1405098850622,521
ECG,1405098850626,519
ECG,1405098850630,516
ECG,1405098850634,514
ECG,1405098850638,513
ECG,1405098850642,512
ECG,1405098850646,511
ECG,1405098850650,510
ECG,1405098850654,508
ECG,1405098850658,507
ECG,1405098850662,507
ECG,1405098850666,506
ECG,1405098850670,506
ECG,1405098850674,506
ECG,1405098850678,506
ECG,1405098850682,505
ECG,1405098850686,505
ECG,1405098850690,504
ECG,1405098850697,504
ECG,1405098850701,505
ECG,1405098850705,505
ECG,1405098850709,505
ECG,1405098850713,505
ECG,1405098850717,505
ECG,1405098850721,505
ECG,1405098850725,505
ECG,1405098850729,505
ECG,1405098850733,506
ECG,1405098850737,507
ECG,1405098850741,507
ECG,1405098850745,506
ECG,1405098850749,505
ECG,1405098850753,505
ECG,1405098850757,505
ECG,1405098850761,505
ECG,1405098850765,505
ECG,1405098850769,505
ECG,1405098850773,505
ECG,1405098850777,504
ECG,1405098850781,505
ECG,1405098850785,505
ECG,1405098850789,506
ECG,1405098850793,506
ECG,1405098850797,505
ECG,1405098850801,505
ECG,1405098850805,504
ECG,1405098850809,504
ECG,1405098850813,505
ECG,1405098850817,505
ECG,1405098850821,505
ECG,1405098850825,504
ECG,1405098850829,504
ECG,1405098850833,503
ECG,1405098850837,503
ECG,1405098850841,504
ECG,1405098850845,505
ECG,1405098850849,505
ECG,1405098850853,505
ECG,1405098850857,504
ECG,1405098850861,503
ECG,1405098850865,502
ECG,1405098850869,502
ECG,1405098850873,503
ECG,1405098850877,504
ECG,1405098850881,504
ECG,1405098850885,504
ECG,1405098850889,504
ECG,1405098850893,504
ECG,1405098850897,504
ECG,1405098850901,504
ECG,1405098850905,504
ECG,1405098850909,504
ECG,1405098850913,503
ECG,1405098850917,502
ECG,1405098850921,502
ECG,1405098850925,502
ECG,1405098850929,502
ECG,1405098850933,503
ECG,1405098850937,505
ECG,1405098850941,505
ECG,1405098850945,506
ECG,1405098850963,506
ECG,1405098850967,505
ECG,1405098850971,505
ECG,1405098850975,505
ECG,1405098850979,505
ECG,1405098850983,506
ECG,1405098850987,506
ECG,1405098850991,507
ECG,1405098850995,508
ECG,1405098850999,508
ECG,1405098851003,508
ECG,1405098851007,508
ECG,1405098851011,507
ECG,1405098851015,506
ECG,1405098851019,506
ECG,1405098851023,505
ECG,1405098851027,505
ECG,1405098851031,504
ECG,1405098851035,504
ECG,1405098851039,504
ECG,1405098851043,504
ECG,1405098851047,504
ECG,1405098851051,505
ECG,1405098851055,505
ECG,1405098851059,504
ECG,1405098851063,504
ECG,1405098851067,503
ECG,1405098851071,503
ECG,1405098851075,504
ECG,1405098851079,505
ECG,1405098851083,506
ECG,1405098851087,507
ECG,1405098851091,507
ECG,1405098851095,506
ECG,1405098851099,506
ECG,1405098851103,506
ECG,1405098851107,505
ECG,1405098851111,505
ECG,1405098851115,504
ECG,1405098851119,504
ECG,1405098851123,507
ECG,1405098851127,513
ECG,1405098851131,521
ECG,1405098851135,532
ECG,1405098851139,543
ECG,1405098851143,551
ECG,1405098851147,551
ECG,1405098851151,541
ECG,1405098851155,523
ECG,1405098851159,505
ECG,1405098851163,492
ECG,1405098851167,489
ECG,1405098851171,494
ECG,1405098851175,501
ECG,1405098851179,507
ECG,1405098851183,509
ECG,1405098851187,508
ECG,1405098851191,507
ECG,1405098851195,507
ECG,1405098851199,508
ECG,1405098851203,507
ECG,1405098851207,508
ECG,1405098851211,508
ECG,1405098851206,508
ECG,1405098851210,509
ECG,1405098851214,509
ECG,1405098851218,509
ECG,1405098851222,509
ECG,1405098851226,509
ECG,1405098851230,509
ECG,1405098851234,509
ECG,1405098851238,510
ECG,1405098851242,510
ECG,1405098851246,510
ECG,1405098851250,511
ECG,1405098851254,511
ECG,1405098851258,512
ECG,1405098851262,512
ECG,1405098851266,513
ECG,1405098851270,513
ECG,1405098851274,514
ECG,1405098851278,514
ECG,1405098851282,514
ECG,1405098851286,515
ECG,1405098851290,515
ECG,1405098851294,515
ECG,1405098851298,516
ECG,1405098851302,517
ECG,1405098851306,518
ECG,1405098851310,519
ECG,1405098851314,519
ECG,1405098851318,520
ECG,1405098851322,521
ECG,1405098851326,522
ECG,1405098851330,523
ECG,1405098851334,524
ECG,1405098851338,524
ECG,1405098851342,525
ECG,1405098851346,525
ECG,1405098851350,525
ECG,1405098851354,526
ECG,1405098851358,526
ECG,1405098851362,526
ECG,1405098851366,525
ECG,1405098851370,525
ECG,1405098851374,524
ECG,1405098851378,523
ECG,1405098851382,521
ECG,1405098851386,520
ECG,1405098851390,518
ECG,1405098851394,516
ECG,1405098851398,514
ECG,1405098851402,512
ECG,1405098851406,510
ECG,1405098851410,509
ECG,1405098851414,508
ECG,1405098851418,507
ECG,1405098851422,507
ECG,1405098851426,506
ECG,1405098851430,506
ECG,1405098851434,506
ECG,1405098851438,505
ECG,1405098851442,504
ECG,1405098851446,504
ECG,1405098851450,505
ECG,1405098851454,506
ECG,1405098851461,507
ECG,1405098851465,507
ECG,1405098851469,507
ECG,1405098851473,507
ECG,1405098851477,506
ECG,1405098851481,506
ECG,1405098851485,506
ECG,1405098851489,506
ECG,1405098851493,507
ECG,1405098851497,507
ECG,1405098851501,508
ECG,1405098851505,508
ECG,1405098851509,508
ECG,1405098851513,508
ECG,1405098851517,508
ECG,1405098851521,508
ECG,1405098851525,508
ECG,1405098851529,508
ECG,1405098851533,508
ECG,1405098851537,508
ECG,1405098851541,508
ECG,1405098851545,509
ECG,1405098851549,509
ECG,1405098851553,510
ECG,1405098851557,510
ECG,1405098851561,510
ECG,1405098851565,510
ECG,1405098851569,510
ECG,1405098851573,510
ECG,1405098851577,510
ECG,1405098851581,510
ECG,1405098851585,509
ECG,1405098851589,509
ECG,1405098851593,508
ECG,1405098851597,508
ECG,1405098851601,508
ECG,1405098851605,509
ECG,1405098851609,510
ECG,1405098851613,510
ECG,1405098851617,510
ECG,1405098851621,509
ECG,1405098851625,508
ECG,1405098851629,508
ECG,1405098851633,509
ECG,1405098851637,510
ECG,1405098851641,510
ECG,1405098851645,510
ECG,1405098851649,510
ECG,1405098851653,509
ECG,1405098851657,509
ECG,1405098851661,509
ECG,1405098851665,509
ECG,1405098851669,509
ECG,1405098851673,510
ECG,1405098851677,510
ECG,1405098851681,510
ECG,1405098851685,510
ECG,1405098851689,510
ECG,1405098851693,510
ECG,1405098851697,512
ECG,1405098851701,513
ECG,1405098851705,514
ECG,1405098851709,514
ECG,1405098851714,514
ECG,1405098851718,513
ECG,1405098851722,512
ECG,1405098851726,512
ECG,1405098851730,512
ECG,1405098851734,511
ECG,1405098851738,511
ECG,1405098851742,511
ECG,1405098851746,511
ECG,1405098851750,510
ECG,1405098851754,510
ECG,1405098851758,509
ECG,1405098851762,509
ECG,1405098851766,508
ECG,1405098851770,508
ECG,1405098851774,508
ECG,1405098851778,509
ECG,1405098851782,509
ECG,1405098851786,509
ECG,1405098851790,509
ECG,1405098851794,509
ECG,1405098851798,508
ECG,1405098851802,508
ECG,1405098851806,509
ECG,1405098851810,509
ECG,1405098851814,510
ECG,1405098851818,510
ECG,1405098851822,509
ECG,1405098851826,507
ECG,1405098851830,505
ECG,1405098851834,504
ECG,1405098851838,506
ECG,1405098851842,511
ECG,1405098851846,518
ECG,1405098851850,528
ECG,1405098851854,540
ECG,1405098851858,550
ECG,1405098851862,556
ECG,1405098851866,553
ECG,1405098851870,541
ECG,1405098851874,524
ECG,1405098851878,507
ECG,1405098851882,496
ECG,1405098851886,494
ECG,1405098851890,499
ECG,1405098851894,505
ECG,1405098851898,509
ECG,1405098851902,510
ECG,1405098851906,510
ECG,1405098851910,511
ECG,1405098851914,511
ECG,1405098851918,512
ECG,1405098851922,512
ECG,1405098851926,511
ECG,1405098851930,511
ECG,1405098851934,511
ECG,1405098851938,511
ECG,1405098851942,511
ECG,1405098851946,511
ECG,1405098851950,511
ECG,1405098851954,511
ECG,1405098851958,511
ECG,1405098851962,512
ECG,1405098851953,513
ECG,1405098851957,514
ECG,1405098851961,515
ECG,1405098851965,515
ECG,1405098851969,514
ECG,1405098851973,514
ECG,1405098851977,514
ECG,1405098851981,515
ECG,1405098851985,516
ECG,1405098851989,517
ECG,1405098851993,517
ECG,1405098851997,517
ECG,1405098852001,517
ECG,1405098852005,518
ECG,1405098852009,519
ECG,1405098852013,520
ECG,1405098852017,521
ECG,1405098852021,522
ECG,1405098852025,522
ECG,1405098852029,522
ECG,1405098852033,523
ECG,1405098852037,523
ECG,1405098852041,523
ECG,1405098852045,525
ECG,1405098852049,526
ECG,1405098852053,528
ECG,1405098852057,529
ECG,1405098852061,530
ECG,1405098852065,529
ECG,1405098852069,528
ECG,1405098852073,528
ECG,1405098852077,528
ECG,1405098852081,528
ECG,1405098852085,529
ECG,1405098852089,529
ECG,1405098852093,528
ECG,1405098852097,526
ECG,1405098852101,523
ECG,1405098852105,520
ECG,1405098852109,518
ECG,1405098852113,516
ECG,1405098852117,514
ECG,1405098852121,513
ECG,1405098852125,512
ECG,1405098852129,511
ECG,1405098852133,509
ECG,1405098852137,508
ECG,1405098852141,508
ECG,1405098852145,507
ECG,1405098852149,507
ECG,1405098852153,506
ECG,1405098852157,506
ECG,1405098852161,505
ECG,1405098852165,506
ECG,1405098852169,506
ECG,1405098852173,506
ECG,1405098852177,507
ECG,1405098852181,506
ECG,1405098852185,506
ECG,1405098852189,506
ECG,1405098852193,506
ECG,1405098852197,506
ECG,1405098852201,506
ECG,1405098852247,506
ECG,1405098852251,506
ECG,1405098852255,507
ECG,1405098852259,507
ECG,1405098852263,507
ECG,1405098852267,507
ECG,1405098852271,507
ECG,1405098852275,507
ECG,1405098852279,507
ECG,1405098852283,508
ECG,1405098852287,508
ECG,1405098852291,508
ECG,1405098852295,507
ECG,1405098852299,507
ECG,1405098852303,507
ECG,1405098852307,507
ECG,1405098852311,508
ECG,1405098852315,508
ECG,1405098852319,508
ECG,1405098852323,508
ECG,1405098852327,508
ECG,1405098852331,507
ECG,1405098852335,507
ECG,1405098852339,507
ECG,1405098852343,507
ECG,1405098852347,508
ECG,1405098852351,507
ECG,1405098852355,507
ECG,1405098852359,507
ECG,1405098852363,507
ECG,1405098852367,506
ECG,1405098852371,505
ECG,1405098852375,505
ECG,1405098852379,505
ECG,1405098852383,506
ECG,1405098852387,508
ECG,1405098852391,508
ECG,1405098852395,508
ECG,1405098852399,507
ECG,1405098852403,507
ECG,1405098852407,506
ECG,1405098852411,506
ECG,1405098852415,506
ECG,1405098852419,507
ECG,1405098852423,507
ECG,1405098852427,508
ECG,1405098852431,508
ECG,1405098852435,508
ECG,1405098852439,509
ECG,1405098852443,509
ECG,1405098852447,509
ECG,1405098852451,510
ECG,1405098852455,510
ECG,1405098852459,510
ECG,1405098852463,510
ECG,1405098852467,510
ECG,1405098852471,510
ECG,1405098852475,509
ECG,1405098852479,508
ECG,1405098852483,508
ECG,1405098852487,507
ECG,1405098852491,507
ECG,1405098852495,508
ECG,1405098852471,507
ECG,1405098852475,507
ECG,1405098852479,507
ECG,1405098852483,507
ECG,1405098852487,508
ECG,1405098852491,508
ECG,1405098852495,508
ECG,1405098852499,508
ECG,1405098852503,508
ECG,1405098852507,507
ECG,1405098852511,507
ECG,1405098852515,507
ECG,1405098852519,507
ECG,1405098852523,507
ECG,1405098852527,508
ECG,1405098852531,508
ECG,1405098852535,508
ECG,1405098852539,508
ECG,1405098852543,507
ECG,1405098852547,505
ECG,1405098852551,504
ECG,1405098852555,504
ECG,1405098852559,508
ECG,1405098852563,515
ECG,1405098852567,525
ECG,1405098852571,537
ECG,1405098852575,549
ECG,1405098852579,557
ECG,1405098852583,556
ECG,1405098852587,546
ECG,1405098852591,529
ECG,1405098852595,511
ECG,1405098852599,499
ECG,1405098852603,496
ECG,1405098852607,499
ECG,1405098852611,505
ECG,1405098852615,511
ECG,1405098852619,513
ECG,1405098852623,514
ECG,1405098852627,515
ECG,1405098852631,516
ECG,1405098852635,514
ECG,1405098852639,512
ECG,1405098852643,511
ECG,1405098852647,512
ECG,1405098852651,515
ECG,1405098852655,518
ECG,1405098852659,520
ECG,1405098852663,519
ECG,1405098852667,517
ECG,1405098852671,515
ECG,1405098852675,514
ECG,1405098852679,515
ECG,1405098852683,517
ECG,1405098852687,520
ECG,1405098852691,521
ECG,1405098852695,521
ECG,1405098852699,520
ECG,1405098852703,519
ECG,1405098852707,519
ECG,1405098852711,519
ECG,1405098852715,519
ECG,1405098852719,521
ECG,1405098852719,522
ECG,1405098852723,524
ECG,1405098852727,524
ECG,1405098852731,524
ECG,1405098852735,524
ECG,1405098852739,524
ECG,1405098852743,524
ECG,1405098852747,525
ECG,1405098852751,527
ECG,1405098852755,530
ECG,1405098852759,533
ECG,1405098852763,535
ECG,1405098852767,535
ECG,1405098852771,533
ECG,1405098852775,530
ECG,1405098852779,529
ECG,1405098852783,530
ECG,1405098852787,535
ECG,1405098852791,541
ECG,1405098852795,547
ECG,1405098852799,547
ECG,1405098852803,542
ECG,1405098852807,537
ECG,1405098852811,539
ECG,1405098852815,551
ECG,1405098852819,567
ECG,1405098852823,579
ECG,1405098852827,577
ECG,1405098852831,559
ECG,1405098852835,533
ECG,1405098852839,510
ECG,1405098852843,499
ECG,1405098852847,503
ECG,1405098852851,517
ECG,1405098852855,532
ECG,1405098852859,540
ECG,1405098852863,541
ECG,1405098852867,535
ECG,1405098852871,525
ECG,1405098852875,518
ECG,1405098852879,517
ECG,1405098852883,520
ECG,1405098852887,525
ECG,1405098852891,526
ECG,1405098852895,524
ECG,1405098852899,519
ECG,1405098852903,514
ECG,1405098852907,510
ECG,1405098852911,507
ECG,1405098852915,506
ECG,1405098852919,506
ECG,1405098852923,506
ECG,1405098852927,507
ECG,1405098852931,507
ECG,1405098852935,508
ECG,1405098852939,508
ECG,1405098852943,508
ECG,1405098852947,508
ECG,1405098852951,507
ECG,1405098852955,508
ECG,1405098852959,508
ECG,1405098852963,509
ECG,1405098852967,511
ECG,1405098852996,513
ECG,1405098853000,514
ECG,1405098853004,515
ECG,1405098853008,514
ECG,1405098853012,512
ECG,1405098853016,511
ECG,1405098853020,509
ECG,1405098853024,509
ECG,1405098853028,509
ECG,1405098853032,510
ECG,1405098853036,511
ECG,1405098853040,512
ECG,1405098853044,513
ECG,1405098853048,513
ECG,1405098853052,513
ECG,1405098853056,513
ECG,1405098853060,512
ECG,1405098853064,512
ECG,1405098853068,512
ECG,1405098853072,511
ECG,1405098853076,511
ECG,1405098853080,511
ECG,1405098853084,511
ECG,1405098853088,513
ECG,1405098853092,515
ECG,1405098853096,516
ECG,1405098853100,515
ECG,1405098853104,514
ECG,1405098853108,512
ECG,1405098853112,512
ECG,1405098853116,514
ECG,1405098853120,516
ECG,1405098853124,519
ECG,1405098853128,521
ECG,1405098853132,523
ECG,1405098853136,523
ECG,1405098853140,523
ECG,1405098853144,521
ECG,1405098853148,519
ECG,1405098853152,518
ECG,1405098853156,519
ECG,1405098853160,521
ECG,1405098853164,524
ECG,1405098853168,525
ECG,1405098853172,525
ECG,1405098853176,524
ECG,1405098853180,521
ECG,1405098853184,517
ECG,1405098853188,514
ECG,1405098853192,511
ECG,1405098853196,508
ECG,1405098853200,507
ECG,1405098853204,507
ECG,1405098853208,507
ECG,1405098853212,507
ECG,1405098853216,507
ECG,1405098853220,506
ECG,1405098853224,507
ECG,1405098853228,509
ECG,1405098853232,511
ECG,1405098853236,513
ECG,1405098853240,514
ECG,1405098853244,513
ECG,1405098853221,510
ECG,1405098853225,508
ECG,1405098853229,506
ECG,1405098853233,506
ECG,1405098853237,507
ECG,1405098853241,508
ECG,1405098853245,508
ECG,1405098853249,508
ECG,1405098853253,507
ECG,1405098853257,505
ECG,1405098853261,503
ECG,1405098853265,502
ECG,1405098853269,505
ECG,1405098853273,511
ECG,1405098853277,520
ECG,1405098853281,531
ECG,1405098853285,543
ECG,1405098853289,552
ECG,1405098853293,552
ECG,1405098853297,543
ECG,1405098853301,526
ECG,1405098853305,508
ECG,1405098853309,495
ECG,1405098853313,491
ECG,1405098853317,495
ECG,1405098853321,501
ECG,1405098853325,506
ECG,1405098853329,508
ECG,1405098853333,508
ECG,1405098853337,507
ECG,1405098853341,508
ECG,1405098853345,508
ECG,1405098853349,509
ECG,1405098853353,509
ECG,1405098853357,509
ECG,1405098853361,509
ECG,1405098853365,509
ECG,1405098853369,509
ECG,1405098853373,510
ECG,1405098853377,511
ECG,1405098853381,511
ECG,1405098853385,511
ECG,1405098853389,511
ECG,1405098853393,511
ECG,1405098853397,511
ECG,1405098853401,511
ECG,1405098853405,512
ECG,1405098853409,512
ECG,1405098853413,512
ECG,1405098853417,513
ECG,1405098853421,514
ECG,1405098853425,515
ECG,1405098853429,515
ECG,1405098853433,516
ECG,1405098853437,515
ECG,1405098853441,515
ECG,1405098853445,515
ECG,1405098853449,516
ECG,1405098853453,517
ECG,1405098853457,519
ECG,1405098853461,520
ECG,1405098853465,521
ECG,1405098853469,522
ECG,1405098853473,523
ECG,1405098853477,523
ECG,1405098853481,523
ECG,1405098853485,523
ECG,1405098853489,524
ECG,1405098853493,525
ECG,1405098853497,525
ECG,1405098853501,526
ECG,1405098853505,526
ECG,1405098853509,526
ECG,1405098853513,526
ECG,1405098853517,527
ECG,1405098853521,527
ECG,1405098853525,528
ECG,1405098853529,528
ECG,1405098853533,527
ECG,1405098853537,526
ECG,1405098853541,524
ECG,1405098853545,522
ECG,1405098853549,519
ECG,1405098853553,517
ECG,1405098853557,515
ECG,1405098853561,513
ECG,1405098853565,512
ECG,1405098853569,512
ECG,1405098853573,511
ECG,1405098853577,511
ECG,1405098853581,510
ECG,1405098853585,509
ECG,1405098853589,509
ECG,1405098853593,508
ECG,1405098853597,507
ECG,1405098853601,507
ECG,1405098853605,508
ECG,1405098853609,508
ECG,1405098853613,508
ECG,1405098853617,508
ECG,1405098853621,509
ECG,1405098853625,509
ECG,1405098853629,509
ECG,1405098853633,508
ECG,1405098853637,508
ECG,1405098853641,507
ECG,1405098853645,507
ECG,1405098853649,508
ECG,1405098853653,509
ECG,1405098853657,510
ECG,1405098853661,510
ECG,1405098853665,510
ECG,1405098853669,510
ECG,1405098853673,510
ECG,1405098853677,510
ECG,1405098853681,510
ECG,1405098853685,511
ECG,1405098853689,511
ECG,1405098853693,511
ECG,1405098853697,510
ECG,1405098853701,509
ECG,1405098853705,509
ECG,1405098853709,509
ECG,1405098853713,509
ECG,1405098853717,510
ECG,1405098853721,511
ECG,1405098853749,511
ECG,1405098853753,511
ECG,1405098853757,510
ECG,1405098853761,510
ECG,1405098853765,509
ECG,1405098853769,509
ECG,1405098853773,510
ECG,1405098853777,510
ECG,1405098853781,510
ECG,1405098853785,509
ECG,1405098853789,509
ECG,1405098853793,509
ECG,1405098853797,510
ECG,1405098853801,510
ECG,1405098853805,511
ECG,1405098853809,510
ECG,1405098853813,510
ECG,1405098853817,509
ECG,1405098853821,509
ECG,1405098853825,509
ECG,1405098853829,510
ECG,1405098853833,510
ECG,1405098853837,510
ECG,1405098853841,510
ECG,1405098853845,511
ECG,1405098853849,512
ECG,1405098853853,513
ECG,1405098853857,513
ECG,1405098853861,513
ECG,1405098853865,512
ECG,1405098853869,512
ECG,1405098853873,512
ECG,1405098853877,512
ECG,1405098853881,513
ECG,1405098853885,513
ECG,1405098853889,513
ECG,1405098853893,513
ECG,1405098853897,512
ECG,1405098853901,511
ECG,1405098853905,510
ECG,1405098853909,510
ECG,1405098853913,510
ECG,1405098853917,510
ECG,1405098853921,510
ECG,1405098853925,510
ECG,1405098853929,509
ECG,1405098853933,509
ECG,1405098853937,509
ECG,1405098853941,510
ECG,1405098853945,510
ECG,1405098853949,510
ECG,1405098853953,510
ECG,1405098853957,509
ECG,1405098853961,509
ECG,1405098853965,510
ECG,1405098853969,510
ECG,1405098853973,511
ECG,1405098853977,511
ECG,1405098853981,511
ECG,1405098853985,511
ECG,1405098853989,510
ECG,1405098853993,509
ECG,1405098853997,508
ECG,1405098853986,509
ECG,1405098853990,512
ECG,1405098853994,519
ECG,1405098853998,529
ECG,1405098854002,541
ECG,1405098854006,552
ECG,1405098854010,558
ECG,1405098854014,556
ECG,1405098854018,544
ECG,1405098854022,525
ECG,1405098854026,508
ECG,1405098854030,497
ECG,1405098854034,496
ECG,1405098854038,501
ECG,1405098854042,508
ECG,1405098854046,512
ECG,1405098854050,513
ECG,1405098854054,512
ECG,1405098854058,512
ECG,1405098854062,512
ECG,1405098854066,512
ECG,1405098854070,512
ECG,1405098854074,512
ECG,1405098854078,513
ECG,1405098854082,513
ECG,1405098854086,514
ECG,1405098854090,515
ECG,1405098854094,516
ECG,1405098854098,516
ECG,1405098854102,516
